id,中文名,英文名,介绍,客户端含介绍字段,稀有度,来源,本地化键,贴图资源,PNG
"avatar_2e_brigade","第 2 旅","2e Brigade","","False","ERarityEnum::Unique","EItemSource::2","93EBE94A4C914BB3AD1A3DA6EA31F02B","/Game/Assets/Textures/Portraits/T_Portrait_Elite_2e-brigade","images/T_Portrait_Elite_2e-brigade.png"
"avatar_white_death","白色死神","White Death","","False","ERarityEnum::Unique","EItemSource::2","E3AD22904C4B02AA1EFB29A4DF054245","/Game/Assets/Textures/Portraits/T_Portrait_Elite_White-Death","images/T_Portrait_Elite_White-Death.png"
"avatar_zamosc_uprising","起义","Uprising","","False","ERarityEnum::Unique","EItemSource::2","31C7B9E34963ED7EFD15D583DA0220FC","/Game/Assets/Textures/Portraits/T_Portrait_Elite_Uprising","images/T_Portrait_Elite_Uprising.png"
"avatar_119_grenadier","第 119 掷弹兵团","119. Grenadier","","False","ERarityEnum::Unique","EItemSource::2","C1CE8C5348C1872A56BB3198256ED626","/Game/Assets/Textures/Portraits/T_Portrait_Elite_119-Grenadier","images/T_Portrait_Elite_119-Grenadier.png"
"avatar_folgore","雷电","Folgore","","False","ERarityEnum::Unique","EItemSource::2","D2F6D6964860BED0F20BA1BDC60FFEAA","/Game/Assets/Textures/Portraits/T_Portrait_Elite_Folgore","images/T_Portrait_Elite_Folgore.png"
"avatar_in_the_navy","海军服役","In The Navy","","False","ERarityEnum::Unique","EItemSource::2","B3CE487A45BAF9389F0FE18A6F46D3C8","/Game/Assets/Textures/Portraits/T_Portrait_Elite_In-The-Navy","images/T_Portrait_Elite_In-The-Navy.png"
"avatar_monty","蒙蒂","Monty","","False","ERarityEnum::Unique","EItemSource::2","764A79084ABDACFE466BD4B63AF7A30D","/Game/Assets/Textures/Portraits/T_Portrait_Elite_Monty","images/T_Portrait_Elite_Monty.png"
"avatar_worker","工人","Worker","","False","ERarityEnum::Unique","EItemSource::2","B390E48444780FDF500945955E52AEA4","/Game/Assets/Textures/Portraits/T_Portrait_Elite_Worker","images/T_Portrait_Elite_Worker.png"
"avatar_scrap_metal","芬兰","Suomi","","False","ERarityEnum::Rare","EItemSource::2","9528042E4902F09C0CD5C694D9918D33","/Game/Assets/Textures/Portraits/T_Portrait_Special_Suomi","images/T_Portrait_Special_Suomi.png"
"avatar_la_decima","意大利海军","Regia Marina","","False","ERarityEnum::Rare","EItemSource::2","31788DF946D7D152F50704B8B13EAE2A","/Game/Assets/Textures/Portraits/T_Portrait_Special_Regia-Marina","images/T_Portrait_Special_Regia-Marina.png"
"avatar_48_regiment","第 48 团","48e Regiment","","False","ERarityEnum::Rare","EItemSource::2","61CC4031478723B319EC0FAA7C2FF991","/Game/Assets/Textures/Portraits/T_Portrait_Special_48e-Regiment","images/T_Portrait_Special_48e-Regiment.png"
"avatar_97th_rifles","步兵第 97 团","97th Rifles","","False","ERarityEnum::Common","EItemSource::2","CD58E80E4E3887AEF9BE1A9F30BC9655","/Game/Assets/Textures/Portraits/T_Portrait_Special_97th-Rifles","images/T_Portrait_Special_97th-Rifles.png"
"avatar_black_beret","黑色贝雷帽","Black Beret","","False","ERarityEnum::Rare","EItemSource::3","3D84A7CC4EC34D38170997AD7B67C17C","/Game/Assets/Textures/Portraits/T_Portrait_Special_Black-Beret","images/T_Portrait_Special_Black-Beret.png"
"avatar_blitzfunker","无线电员","Blitzfunker","","False","ERarityEnum::Rare","EItemSource::3","50425CDC46B1A7741AF37AA7B061C799","/Game/Assets/Textures/Portraits/T_Portrait_Special_Blitzfunker","images/T_Portrait_Special_Blitzfunker.png"
"avatar_cadet_nurse","军校护士团","Cadet Nurse Corps","","False","ERarityEnum::Rare","EItemSource::3","1C80E53141D31F947C74B388D64E4FE1","/Game/Assets/Textures/Portraits/T_Portrait_Special_Cadet-Nurse-corps","images/T_Portrait_Special_Cadet-Nurse-corps.png"
"avatar_commander","指挥官","Commander","","False","ERarityEnum::Rare","EItemSource::2","51B1B14241DE62168E0E1FA336E08BB3","/Game/Assets/Textures/Portraits/T_Portrait_Special_Commander","images/T_Portrait_Special_Commander.png"
"avatar_prosperity","为了繁荣","For Prosperity","","False","ERarityEnum::Rare","EItemSource::3","D44D24EF4254578A64E8ACBE4BB54E43","/Game/Assets/Textures/Portraits/T_Portrait_Special_For-Prosperity","images/T_Portrait_Special_For-Prosperity.png"
"avatar_to_arms","武装起来","To Arms","","False","ERarityEnum::Rare","EItemSource::2","1B944B5F477458177CE5D6ABD3D77849","/Game/Assets/Textures/Portraits/T_Portrait_Special_To-Arms","images/T_Portrait_Special_To-Arms.png"
