"id","name_zh_hans","name_en","description","localization_status","material_asset","preview_texture_asset","image","associated_headquarters_id","associated_headquarters_name_zh_hans"
"default",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Wood_Inst","/Game/Assets/Textures/Table/RVXWood/T_Table_wood_basecolor","images/default.png",,
"fabric",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Fabric_Inst","/Game/Assets/Textures/Table/RVXFabric/v4/T_Table_Fabric_BC","images/fabric.png",,
"metal",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Metal2_Inst","/Game/Assets/Textures/Table/RVXMetal/GreenMetal","images/metal.png",,
"blueprint",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Blueprint","/Game/Assets/Textures/Table/RVXBlueprint/T_Blueprint_Albedo2_edit","images/blueprint.png",,
"poland",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Poland","/Game/Assets/Textures/Table/RVX-Poland/Poland_wood_03_Diffuse","images/poland.png",,
"london",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_LondonUnderground_Inst","/Game/Assets/Textures/Table/LondonUndergound/T_LondonUnderground_Albedo","images/london.png","card_location_london_waw","伦敦"
"moscow",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Moscow1_Inst","/Game/Assets/Textures/Table/RVXmoscow/Moscow1/T_Moscow1_Diffuse","images/moscow.png","card_location_moscow","莫斯科"
"desert",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Desert_Inst","/Game/Assets/Textures/Table/Desert/T_Desert1_Diffuse","images/desert.png",,
"desert2",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Desert2_Inst","/Game/Assets/Textures/Table/Desert/desert2/T_Desert2_Diffuse","images/desert2.png",,
"tropical",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Tropical_Inst_1","/Game/Assets/Textures/Table/tropical/Tropical1/T_Tropical01_Diffuse","images/tropical.png",,
"tropical2",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Tropical_Inst2","/Game/Assets/Textures/Table/tropical/Tropical12/T_Tropical02_diffuse","images/tropical2.png",,
"metal2",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_metal3_inst","/Game/Assets/Textures/Table/SoloSelectBack-01","images/metal2.png",,
"washington",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_OvalOffice_inst","/Game/Assets/Textures/Table/OvalOffice/OvalOffice_Albedo","images/washington.png","card_location_washington_waw","华盛顿"
"bryansk",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_BehindEnemyLines_Inst","/Game/Assets/Textures/Table/BehindEnemyLines/06/T_BehindEnemyLines_06_Albedo","images/bryansk.png","card_location_bryansk_waw","布良斯克"
"ardennes",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Bulge","/Game/Assets/Textures/Table/Bulge/T_bulge_Albedo","images/ardennes.png","card_location_ardennes_waw","阿登"
"colonial",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Colonial","/Game/Assets/Textures/Table/Colonial/T_Colonial_Albedo","images/colonial.png",,
"reset",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Wood_Inst","/Game/Assets/Textures/Table/RVXWood/T_Table_wood_basecolor","images/reset.png",,
"fabricDark",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/board_top_Fabric_Dark","/Game/Assets/Textures/Table/RVXFabric/v4/T_Table_Fabric_BC","images/fabricDark.png",,
"tank_us",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/2024/board_top_tank_us","/Game/Assets/Materials/BoardsInsts/2024/tank_3_US_white/tank_3_US_white_Albedo","images/tank_us.png","card_location_arracourt","阿拉库尔"
"tank_britain",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/2024/board_top_tank_britain","/Game/Assets/Materials/BoardsInsts/2024/Tank_09_british/Tank_09_british_Albedo","images/tank_britain.png","card_location_alam_el_halfa","阿拉姆哈勒法"
"tank_japan",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/2024/board_top_tank_japan","/Game/Assets/Materials/BoardsInsts/2024/tank_6_jpn/tank_6_001_Albedo","images/tank_japan.png","card_location_baguio","碧瑶"
"tank_germany",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/2024/board_top_tank_germany","/Game/Assets/Materials/BoardsInsts/2024/tank_7_grm/tank_7_001_Albedo","images/tank_germany.png","card_location_villers_bocage","维莱博卡日"
"tank_soviet",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/2024/board_top_tank_soviet","/Game/Assets/Materials/BoardsInsts/2024/Tank_08_Soviet/Tank_08_Soviet_Albedo","images/tank_soviet.png","card_location_kursk","库尔斯克"
"submarine",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/2025/SubmarineTable/M_board_top_submarine_inst","/Game/Assets/Materials/BoardsInsts/2025/SubmarineTable/textures/grate/T_2025_submarine_Albedo","images/submarine.png","card_location_flotilla_neutral","舰队"
"supply_train",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/2025/Homefront/board_top_Homefront","/Game/Assets/Materials/BoardsInsts/2025/Homefront/Homefront_03_Applebox_Diffuse","images/supply_train.png","card_location_supply_train_neutral","补给列车"
"concrete_bunker",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/2026/ConcreteBunker/board_top_ConcreteBunker","/Game/Assets/Materials/BoardsInsts/2026/ConcreteBunker/T_concrete_bunker_01_Albedo","images/concrete_bunker.png","card_location_concrete_bunker_neutral","地堡"
"fortress_darwin",,,,"客户端 boardMats 数据表无显示名和介绍字段","/Game/Assets/Materials/BoardsInsts/2026/AusBarraks/board_top_AusBarraks","/Game/Assets/Materials/BoardsInsts/2026/AusBarraks/T_AusBarraks_Albedo","images/fortress_darwin.png","card_location_fortress_darwin_neutral","达尔文要塞"
